"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Disagree,Minor impact,ON,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Very,Extremely,Extremely,Not at all,Female,Not working at a job or business,No impact,NB,MAY
Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,Moderate impact,AB,MAY
Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Male,Neither agree nor disagree,Moderate impact,NB,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Very,Extremely,Not at all,Female,Strongly disagree,No impact,QC,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Extremely,Very,Very,Somewhat,Not at all,Female,Agree,Major impact,BC,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Male,Agree,Too soon to tell,MB,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Male,Disagree,No impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Female,Strongly agree,Major impact,ON,MAY
Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Female,Disagree,Minor impact,QC,AUG
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,ON,AUG
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Very,Not at all,Male,Strongly disagree,No impact,QC,AUG
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,ON,AUG
Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Female,Neither agree nor disagree,Major impact,ON,AUG
Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,NS,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Agree,Major impact,AB,AUG
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,AB,AUG
Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,QC,AUG
Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Disagree,No impact,NL,AUG
Not at all,Not at all,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly agree,Major impact,BC,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,SK,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Neither agree nor disagree,Minor impact,BC,AUG
Not at all,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,BC,AUG
Not at all,Not at all,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Agree,Major impact,BC,AUG
Somewhat,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Female,Disagree,No impact,QC,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Female,Strongly disagree,Minor impact,ON,AUG
Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,Too soon to tell,AB,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Male,Strongly disagree,No impact,ON,AUG
Not at all,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,Male,Disagree,Minor impact,ON,AUG
Very,Very,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Agree,Minor impact,BC,AUG
Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Very,Very,Extremely,Somewhat,Female,Not working at a job or business,Minor impact,ON,AUG
Not at all,Not at all,Somewhat,Not at all,Not at all,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Strongly agree,Minor impact,MB,AUG
Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Not at all,Female,Disagree,Moderate impact,BC,AUG
Very,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Not working at a job or business,No impact,ON,AUG
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Disagree,No impact,QC,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Moderate impact,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,ON,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Very,Not at all,Female,Disagree,Minor impact,BC,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Very,Very,Very,Not at all,Female,Strongly agree,No impact,ON,AUG
Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,BC,AUG
Not at all,Not at all,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Agree,Major impact,ON,AUG
Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Very,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Very,Not at all,Female,Disagree,Too soon to tell,AB,AUG
Somewhat,Somewhat,Very,Very,Extremely,Very,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,ON,AUG
Not at all,Not at all,Very,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Not at all,Female,Strongly agree,Major impact,BC,AUG
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,MB,AUG
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Minor impact,NS,AUG
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Very,Very,Female,Neither agree nor disagree,Moderate impact,ON,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Not at all,Female,Strongly disagree,Minor impact,ON,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Male,Neither agree nor disagree,Major impact,ON,AUG
Very,Very,Extremely,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,AUG
Not at all,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,ON,AUG
Somewhat,Somewhat,Not at all,Very,Very,Extremely,Very,Very,Very,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,BC,AUG
Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Very,Not at all,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Major impact,MB,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,No impact,ON,AUG
Very,Not at all,Extremely,Very,Very,Very,Somewhat,Extremely,Extremely,Very,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,ON,AUG
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,ON,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,AB,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,MB,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Strongly agree,Moderate impact,ON,AUG
Very,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Not working at a job or business,No impact,AB,AUG
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,ON,AUG
Not at all,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Extremely,Very,Not at all,Male,Strongly disagree,No impact,ON,AUG
Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,AUG
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly disagree,Moderate impact,NS,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Very,Not at all,Male,Strongly disagree,Minor impact,ON,AUG
Very,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Very,Very,Extremely,Somewhat,Female,Neither agree nor disagree,Moderate impact,ON,AUG
Somewhat,Not at all,Very,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Disagree,Moderate impact,ON,MAY
Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Not working at a job or business,No impact,BC,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Very,Very,Not at all,Not at all,Male,Disagree,No impact,AB,MAY
Very,Very,Very,Very,Very,Extremely,Very,Extremely,Very,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,QC,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,BC,MAY
Not at all,Not at all,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Extremely,Extremely,Very,Very,Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,MAY
Very,Very,Very,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,NS,MAY
Somewhat,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,ON,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,ON,MAY
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Very,Female,Strongly disagree,No impact,QC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Major impact,ON,MAY
Very,Very,Extremely,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,MAY
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,BC,MAY
Not at all,Not at all,Extremely,Very,Very,Extremely,Not at all,Very,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,MAY
Very,Very,Very,Very,Somewhat,Extremely,Very,Very,Very,Very,Not at all,Not at all,Male,Disagree,Minor impact,SK,MAY
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Very,Very,Somewhat,Not at all,Male,Strongly disagree,Minor impact,NU,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Minor impact,ON,MAY
Somewhat,Not at all,Extremely,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,BC,MAY
Somewhat,Very,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Male,Strongly disagree,Major impact,ON,MAY
Somewhat,Very,Very,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,Minor impact,QC,MAY
Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,ON,MAY
Not at all,Very,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Female,Strongly agree,Moderate impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,AB,MAY
Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Very,Female,Strongly disagree,Too soon to tell,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Agree,Moderate impact,BC,AUG
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,BC,AUG
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Somewhat,Not at all,Not at all,Very,Somewhat,Female,Not working at a job or business,Minor impact,SK,AUG
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Strongly agree,Major impact,ON,AUG
Very,Very,Very,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,PE,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,ON,AUG
Very,Very,Very,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,AUG
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Not at all,Male,Neither agree nor disagree,Minor impact,NS,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,ON,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Female,Disagree,Minor impact,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Male,Not working at a job or business,Too soon to tell,QC,AUG
Very,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,QC,AUG
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,NS,AUG
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly agree,Major impact,ON,AUG
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,AUG
Extremely,Extremely,Very,Extremely,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,BC,AUG
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,ON,AUG
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,QC,AUG
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Male,Neither agree nor disagree,Minor impact,ON,AUG
Very,Extremely,Extremely,Very,Somewhat,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly agree,Major impact,SK,AUG
Extremely,Very,Extremely,Extremely,Very,Very,Somewhat,Very,Not at all,Not at all,Extremely,Not at all,Female,Not working at a job or business,No impact,NL,AUG
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,ON,AUG
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,MB,AUG
Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,Major impact,NL,AUG
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Not at all,Extremely,Very,Somewhat,Extremely,Not at all,Female,Agree,Moderate impact,MB,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Extremely,Male,Disagree,Too soon to tell,ON,AUG
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,NL,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,QC,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,ON,AUG
Not at all,Not at all,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,SK,AUG
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Strongly disagree,No impact,BC,AUG
Extremely,Extremely,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,ON,AUG
Very,Very,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Not at all,Not at all,Male,Strongly disagree,No impact,ON,AUG
Not at all,Extremely,Extremely,Somewhat,Not at all,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,SK,AUG
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Disagree,Too soon to tell,BC,AUG
Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,Not working at a job or business,No impact,ON,AUG
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,AUG
Extremely,Extremely,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,QC,AUG
Not at all,Not at all,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Very,Not at all,Not at all,Female,Disagree,No impact,ON,AUG
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Female,Strongly disagree,No impact,QC,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,NS,AUG
Very,Very,Extremely,Very,Very,Very,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,ON,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,ON,AUG
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,No impact,AB,AUG
Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,QC,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Minor impact,ON,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Moderate impact,ON,AUG
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,MB,AUG
Very,Very,Very,Very,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,No impact,QC,AUG
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,AUG
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Very,Somewhat,Very,Not at all,Not at all,Female,Agree,Minor impact,QC,AUG
Not at all,Not at all,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Male,Disagree,Too soon to tell,ON,AUG
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Not at all,Not at all,Extremely,Not at all,Female,Disagree,No impact,ON,AUG
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Female,Not working at a job or business,No impact,QC,AUG
Somewhat,Very,Extremely,Very,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly agree,Moderate impact,ON,AUG
Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Male,Strongly agree,Too soon to tell,BC,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,BC,AUG
Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Disagree,Moderate impact,QC,AUG
Very,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,NB,AUG
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,ON,AUG
Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Extremely,Not at all,Male,Strongly agree,Major impact,ON,AUG
Very,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,QC,AUG
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,ON,AUG
Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Disagree,No impact,ON,AUG
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,ON,AUG
Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Very,Not at all,Female,Disagree,Moderate impact,ON,MAY
Not at all,Not at all,Extremely,Somewhat,Not at all,Extremely,Not at all,Very,Extremely,Extremely,Not at all,Not at all,Male,Strongly disagree,No impact,QC,MAY
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,AB,MAY
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,MAY
Extremely,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,ON,MAY
Very,Very,Very,Very,Extremely,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Not working at a job or business,Minor impact,ON,MAY
Not at all,Not at all,Very,Very,Very,Extremely,Somewhat,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,MB,MAY
Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Minor impact,ON,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,MAY
Somewhat,Not at all,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,QC,MAY
