"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Extremely,Very,Very,Very,Extremely,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,NU,NOV
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,QC,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Very,Somewhat,Extremely,Not at all,Female,Agree,Major impact,NU,NOV
Very,Somewhat,Very,Very,Very,Extremely,Very,Not at all,Very,Very,Not at all,Not at all,Female,Strongly disagree,No impact,ON,NOV
Somewhat,Extremely,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,Strongly agree,Moderate impact,ON,NOV
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Major impact,ON,NOV
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Very,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,MB,NOV
Somewhat,Very,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,ON,NOV
Very,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,ON,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,ON,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Too soon to tell,SK,NOV
Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly agree,Moderate impact,ON,NOV
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Not at all,Not at all,Male,Not working at a job or business,Major impact,QC,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Somewhat,Extremely,Extremely,Somewhat,Extremely,Not at all,Female,Disagree,No impact,ON,NOV
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Male,Disagree,Minor impact,QC,NOV
Very,Very,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Female,Disagree,Major impact,BC,NOV
Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,Minor impact,ON,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,AB,NOV
Extremely,Extremely,Very,Very,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,Minor impact,NS,NOV
Very,Very,Extremely,Extremely,Very,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Major impact,ON,NOV
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,AB,NOV
Very,Very,Very,Very,Very,Very,Very,Somewhat,Very,Not at all,Somewhat,Not at all,Male,Disagree,No impact,QC,NOV
Somewhat,Very,Very,Very,Very,Somewhat,Very,Somewhat,Very,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,NOV
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,APRIL
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Very,Very,Very,Very,Not at all,Female,Agree,Moderate impact,ON,APRIL
Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,9,Somewhat,Very,Not at all,Not at all,Female,Strongly agree,Major impact,ON,APRIL
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Disagree,No impact,QC,APRIL
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Female,Strongly disagree,No impact,QC,APRIL
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,QC,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Moderate impact,ON,APRIL
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,AB,APRIL
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,BC,APRIL
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,ON,APRIL
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,Minor impact,ON,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,BC,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,SK,APRIL
Somewhat,Somewhat,Very,Very,Very,Very,Very,Not at all,Very,Very,Not at all,Not at all,Male,Strongly agree,Major impact,ON,APRIL
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Agree,Too soon to tell,ON,APRIL
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,APRIL
Very,Very,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,ON,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,BC,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Male,Strongly disagree,Moderate impact,QC,DEC
Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Not at all,Not at all,Female,Strongly disagree,Moderate impact,QC,DEC
Not at all,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,No impact,QC,DEC
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,DEC
Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Male,Disagree,Minor impact,BC,DEC
Not at all,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,MB,DEC
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Male,Strongly disagree,No impact,AB,DEC
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Minor impact,NS,DEC
Very,Very,Extremely,Somewhat,Not at all,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Not at all,Female,Disagree,No impact,ON,DEC
Somewhat,Extremely,Extremely,Extremely,Very,Extremely,Not at all,Very,Very,Very,Not at all,Not at all,Female,Strongly disagree,Major impact,ON,DEC
Not at all,Not at all,Very,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,BC,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Very,Extremely,Not at all,Female,Strongly agree,Major impact,ON,DEC
Somewhat,Not at all,Extremely,Somewhat,Very,Extremely,Not at all,Somewhat,Very,Somewhat,Very,Not at all,Female,Disagree,Too soon to tell,BC,DEC
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Female,Agree,Minor impact,AB,DEC
Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,ON,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Not at all,Not at all,Extremely,Not at all,Female,Strongly disagree,No impact,QC,DEC
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,NB,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Extremely,Somewhat,Female,Not working at a job or business,Major impact,ON,DEC
